,precision,recall,f1-score,support
Normal,0.9134328358208955,0.9386503067484663,0.9258698940998488,326.0
Pathological,0.9545454545454546,0.65625,0.7777777777777778,32.0
Suspect,0.6956521739130435,0.7058823529411765,0.7007299270072993,68.0
accuracy,0.8802816901408451,0.8802816901408451,0.8802816901408451,0.8802816901408451
macro avg,0.8545434880931312,0.7669275532298809,0.8014591996283086,426.0
weighted avg,0.8817579972984823,0.8802816901408451,0.8788077685491454,426.0
