,precision,recall,f1-score,support
Normal,0.9391304347826087,0.9938650306748467,0.9657228017883756,326.0
Pathological,0.90625,0.90625,0.90625,32.0
Suspect,0.8979591836734694,0.6470588235294118,0.7521367521367521,68.0
accuracy,0.931924882629108,0.931924882629108,0.931924882629108,0.931924882629108
macro avg,0.9144465394853594,0.8490579514014195,0.8747031846417093,426.0
weighted avg,0.9300886061711886,0.931924882629108,0.9271618134467361,426.0
