,precision,recall,f1-score,support
Normal,0.950920245398773,0.950920245398773,0.950920245398773,326.0
Pathological,0.8571428571428571,0.9375,0.8955223880597015,32.0
Suspect,0.7538461538461538,0.7205882352941176,0.7368421052631579,68.0
accuracy,0.9131455399061033,0.9131455399061033,0.9131455399061033,0.9131455399061033
macro avg,0.8539697521292613,0.8696694935642969,0.8610949129072107,426.0
weighted avg,0.9124180983335913,0.9131455399061033,0.9125868065159746,426.0
